iteration,particle_id,process_index,parameters,revenue,co2_emission,score,pbest_position,pbest_score,particle_results
6,1,0,"[0, 158, 0.5]",0.09222177000000001,0.3471,0.127439115,"[0, 157, 0.5]",0.1272912575,"{'raw': {'char': 15.4936, 'electricity': -64.8278, 'CO2_emission': 23.1376, 'char_HHV': np.float64(8.925), 'char_kg_per_kg_wet': 0.2324}, 'products': {'char': np.float64(2.074), 'electricity': -0.9724}, 'emissions': {'CO2_emission': 0.3471}}"
6,2,0,"[0, 158, 0.5]",0.09223462499999999,0.3469,0.12733268749999999,"[0, 160, 0.5]",0.12733268749999999,"{'raw': {'char': 15.4007, 'electricity': -64.864, 'CO2_emission': 23.1242, 'char_HHV': np.float64(8.94), 'char_kg_per_kg_wet': 0.231}, 'products': {'char': np.float64(2.065), 'electricity': -0.973}, 'emissions': {'CO2_emission': 0.3469}}"
6,3,0,"[0, 158, 0.5]",0.092234625,0.3476,0.1276826875,"[0, 150, 0.5]",0.1276826875,"{'raw': {'char': 15.586, 'electricity': -64.8078, 'CO2_emission': 23.1719, 'char_HHV': np.float64(8.909), 'char_kg_per_kg_wet': 0.2338}, 'products': {'char': np.float64(2.083), 'electricity': -0.9721}, 'emissions': {'CO2_emission': 0.3476}}"
6,4,0,"[0, 158, 0.5]",0.052525529999999994,0.3545,0.150987235,"[0, 165, 0.48]",0.134083485,"{'raw': {'char': 15.22, 'electricity': -34.0722, 'CO2_emission': 23.6343, 'char_HHV': np.float64(8.919), 'char_kg_per_kg_wet': 0.2283}, 'products': {'char': np.float64(2.036), 'electricity': -0.5111}, 'emissions': {'CO2_emission': 0.3545}}"
7,0,1,[1],0.00186826,0.5189,0.25851587000000004,[1],0.25851587000000004,"{'raw': {'electricity': -2.1823, 'CO2_emission': 51.8949}, 'products': {'electricity': -0.0218}, 'emissions': {'CO2_emission': 0.5189}}"
7,1,0,"[0, 158, 0.5]",0.09222177000000001,0.3471,0.127439115,"[0, 157, 0.5]",0.1272912575,"{'raw': {'char': 15.4936, 'electricity': -64.8278, 'CO2_emission': 23.1376, 'char_HHV': np.float64(8.925), 'char_kg_per_kg_wet': 0.2324}, 'products': {'char': np.float64(2.074), 'electricity': -0.9724}, 'emissions': {'CO2_emission': 0.3471}}"
7,2,0,"[0, 158, 0.5]",0.09224748,0.347,0.12737626,"[0, 160, 0.5]",0.12733268749999999,"{'raw': {'char': 15.3634, 'electricity': -64.8898, 'CO2_emission': 23.1327, 'char_HHV': np.float64(8.946), 'char_kg_per_kg_wet': 0.2305}, 'products': {'char': np.float64(2.062), 'electricity': -0.9733}, 'emissions': {'CO2_emission': 0.347}}"
7,3,0,"[0, 158, 0.5]",0.092234625,0.3475,0.12763268749999998,"[0, 151, 0.5]",0.12763268749999998,"{'raw': {'char': 15.5676, 'electricity': -64.8118, 'CO2_emission': 23.165, 'char_HHV': np.float64(8.912), 'char_kg_per_kg_wet': 0.2335}, 'products': {'char': np.float64(2.081), 'electricity': -0.9722}, 'emissions': {'CO2_emission': 0.3475}}"
7,4,0,"[0, 158, 0.5]",0.093280165,0.3617,0.1342099175,"[0, 165, 0.48]",0.134083485,"{'raw': {'char': 14.5687, 'electricity': -66.0285, 'CO2_emission': 24.1121, 'char_HHV': np.float64(8.973), 'char_kg_per_kg_wet': 0.2185}, 'products': {'char': np.float64(1.961), 'electricity': -0.9904}, 'emissions': {'CO2_emission': 0.3617}}"
8,0,1,[1],0.00186826,0.5189,0.25851587000000004,[1],0.25851587000000004,"{'raw': {'electricity': -2.1823, 'CO2_emission': 51.8949}, 'products': {'electricity': -0.0218}, 'emissions': {'CO2_emission': 0.5189}}"
8,1,0,"[0, 158, 0.5]",0.09222177000000001,0.347,0.127389115,"[0, 157, 0.5]",0.1272912575,"{'raw': {'char': 15.4751, 'electricity': -64.8318, 'CO2_emission': 23.1305, 'char_HHV': np.float64(8.928), 'char_kg_per_kg_wet': 0.2321}, 'products': {'char': np.float64(2.072), 'electricity': -0.9725}, 'emissions': {'CO2_emission': 0.347}}"
8,2,0,"[0, 158, 0.5]",0.09223462499999999,0.3469,0.12733268749999999,"[0, 160, 0.5]",0.12733268749999999,"{'raw': {'char': 15.4007, 'electricity': -64.864, 'CO2_emission': 23.1242, 'char_HHV': np.float64(8.94), 'char_kg_per_kg_wet': 0.231}, 'products': {'char': np.float64(2.065), 'electricity': -0.973}, 'emissions': {'CO2_emission': 0.3469}}"
8,3,0,"[0, 158, 0.5]",0.09222605499999999,0.3468,0.1272869725,"[0, 159, 0.5]",0.1272869725,"{'raw': {'char': 15.4193, 'electricity': -64.8508, 'CO2_emission': 23.1194, 'char_HHV': np.float64(8.937), 'char_kg_per_kg_wet': 0.2313}, 'products': {'char': np.float64(2.067), 'electricity': -0.9728}, 'emissions': {'CO2_emission': 0.3468}}"
8,4,0,"[0, 158, 0.5]",0.051098624999999995,0.3479,0.1484006875,"[0, 165, 0.48]",0.134083485,"{'raw': {'char': 15.119, 'electricity': -32.9599, 'CO2_emission': 23.1933, 'char_HHV': np.float64(8.98), 'char_kg_per_kg_wet': 0.2268}, 'products': {'char': np.float64(2.037), 'electricity': -0.4944}, 'emissions': {'CO2_emission': 0.3479}}"
9,0,1,[1],0.00186826,0.5189,0.25851587000000004,[1],0.25851587000000004,"{'raw': {'electricity': -2.1823, 'CO2_emission': 51.8949}, 'products': {'electricity': -0.0218}, 'emissions': {'CO2_emission': 0.5189}}"
9,1,0,"[0, 158, 0.5]",0.09223462499999999,0.3469,0.12733268749999999,"[0, 157, 0.5]",0.1272912575,"{'raw': {'char': 15.4007, 'electricity': -64.864, 'CO2_emission': 23.1242, 'char_HHV': np.float64(8.94), 'char_kg_per_kg_wet': 0.231}, 'products': {'char': np.float64(2.065), 'electricity': -0.973}, 'emissions': {'CO2_emission': 0.3469}}"
9,2,0,"[0, 158, 0.5]",0.092217485,0.3467,0.1272412575,"[0, 158, 0.5]",0.1272412575,"{'raw': {'char': 15.4379, 'electricity': -64.8381, 'CO2_emission': 23.1157, 'char_HHV': np.float64(8.934), 'char_kg_per_kg_wet': 0.2316}, 'products': {'char': np.float64(2.069), 'electricity': -0.9726}, 'emissions': {'CO2_emission': 0.3467}}"
9,3,0,"[0, 158, 0.5]",0.09225605,0.3471,0.12742197500000002,"[0, 159, 0.5]",0.1272869725,"{'raw': {'char': 15.3447, 'electricity': -64.9027, 'CO2_emission': 23.1368, 'char_HHV': np.float64(8.949), 'char_kg_per_kg_wet': 0.2302}, 'products': {'char': np.float64(2.06), 'electricity': -0.9735}, 'emissions': {'CO2_emission': 0.3471}}"
9,4,0,"[0, 158, 0.5]",0.05291118,0.3542,0.15064441,"[0, 165, 0.48]",0.134083485,"{'raw': {'char': 15.0562, 'electricity': -34.4266, 'CO2_emission': 23.6103, 'char_HHV': np.float64(8.946), 'char_kg_per_kg_wet': 0.2258}, 'products': {'char': np.float64(2.02), 'electricity': -0.5164}, 'emissions': {'CO2_emission': 0.3542}}"
10,0,1,[1],0.00186826,0.5189,0.25851587000000004,[1],0.25851587000000004,"{'raw': {'electricity': -2.1823, 'CO2_emission': 51.8949}, 'products': {'electricity': -0.0218}, 'emissions': {'CO2_emission': 0.5189}}"
10,1,0,"[0, 158, 0.5]",0.092217485,0.3467,0.1272412575,"[0, 158, 0.5]",0.1272412575,"{'raw': {'char': 15.4379, 'electricity': -64.8381, 'CO2_emission': 23.1157, 'char_HHV': np.float64(8.934), 'char_kg_per_kg_wet': 0.2316}, 'products': {'char': np.float64(2.069), 'electricity': -0.9726}, 'emissions': {'CO2_emission': 0.3467}}"
10,2,0,"[0, 158, 0.5]",0.092217485,0.3468,0.1272912575,"[0, 158, 0.5]",0.1272412575,"{'raw': {'char': 15.4565, 'electricity': -64.8349, 'CO2_emission': 23.123, 'char_HHV': np.float64(8.931), 'char_kg_per_kg_wet': 0.2318}, 'products': {'char': np.float64(2.071), 'electricity': -0.9725}, 'emissions': {'CO2_emission': 0.3468}}"
10,3,0,"[0, 158, 0.5]",0.09223462499999999,0.3469,0.12733268749999999,"[0, 159, 0.5]",0.1272869725,"{'raw': {'char': 15.4007, 'electricity': -64.864, 'CO2_emission': 23.1242, 'char_HHV': np.float64(8.94), 'char_kg_per_kg_wet': 0.231}, 'products': {'char': np.float64(2.065), 'electricity': -0.973}, 'emissions': {'CO2_emission': 0.3469}}"
10,4,0,"[0, 158, 0.5]",0.09319018,0.3618,0.13430491,"[0, 165, 0.48]",0.134083485,"{'raw': {'char': 14.9272, 'electricity': -65.8397, 'CO2_emission': 24.1189, 'char_HHV': np.float64(8.916), 'char_kg_per_kg_wet': 0.2239}, 'products': {'char': np.float64(1.996), 'electricity': -0.9876}, 'emissions': {'CO2_emission': 0.3618}}"
11,0,1,[1],0.00186826,0.5189,0.25851587000000004,[1],0.25851587000000004,"{'raw': {'electricity': -2.1823, 'CO2_emission': 51.8949}, 'products': {'electricity': -0.0218}, 'emissions': {'CO2_emission': 0.5189}}"
